input_id,titulo_input,autores_input,source,source_id,titulo_candidato,autores_candidato,editorial_candidata,idioma_candidato,isbn_13,isbn_10,title_score,authors_score,language_score,publisher_score,score
70,The Seasoned Schemer,Daniel P. Friedman; Matthias Felleisen,google_books,s54LEAAAQBAJ,"The Seasoned Schemer, second edition",Daniel P. Friedman; Matthias Felleisen,MIT Press,ingles,9780262561006,026256100X,1.0000,1.0000,1.0000,1.0000,1.0000
71,The Little MLer,Matthias Felleisen; Daniel P. Friedman,openlibrary,/works/OL2729083W,The little MLer,Matthias Felleisen,MIT Press,ingles,9780262561143,026256114X,1.0000,1.0000,1.0000,1.0000,1.0000
72,Domain-Driven Design,Eric Evans,openlibrary,/works/OL4464385W,Domain-Driven Design,Eric Evans,Addison-Wesley Professional,ingles,9780321125217,0321125215,1.0000,1.0000,1.0000,1.0000,1.0000
72,Domain-Driven Design,Eric Evans,openlibrary,/works/OL22655947W,Domain-Driven Design Reference,Eric Evans,"Dog Ear Publishing, LLC",desconocido,9781457501197,1457501198,1.0000,1.0000,0.5000,0.2778,0.8778
72,Domain-Driven Design,Eric Evans,openlibrary,/works/OL25370128W,Domain-Driven Design,Eric Evans,"Pearson Education, Limited",ingles,9780132181266,0132181274,1.0000,1.0000,1.0000,0.3590,0.9359
72,Domain-Driven Design,Eric Evans,openlibrary,/works/OL35118698W,Domain-driven design),Eric Evans ZHU,Tsinghua University Press,desconocido,9787302115762,7302115761,1.0000,1.0000,0.5000,0.3077,0.8808
72,Domain-Driven Design,Eric Evans,openlibrary,/works/OL30131892W,Domain-Driven Design Referenz,Sonja Scheungrab; Michael Plöd; Christian Stettler; Eberhard Wolff; Eric Evans,Independently Published,aleman,9781794172593,1794172599,1.0000,1.0000,0.0000,0.3243,0.8324
73,Les Fourmis,Bernard Werber,openlibrary,/works/OL136531W,Les fourmis,Bernard Werber,A. Michel,frances,9782253063339,2253063339,1.0000,1.0000,1.0000,0.4000,0.9400
73,Les Fourmis,Bernard Werber,openlibrary,/works/OL136528W,Le jour des fourmis,Bernard Werber,A. Michel,frances,9782253137245,2226061185,0.7778,1.0000,1.0000,0.4000,0.8178
73,Les Fourmis,Bernard Werber,openlibrary,/works/OL8996478W,Les Fourmis,Bernard Werber,Livre de Poche,frances,9782253063339,2253063339,1.0000,1.0000,1.0000,1.0000,1.0000
73,Les Fourmis,Bernard Werber,openlibrary,/works/OL136520W,Le Livre Secret DES Fourmis,Bernard Werber,Albin Michel,frances,9782226065834,2290147419,0.7778,1.0000,1.0000,0.4138,0.8192
73,Les Fourmis,Bernard Werber,openlibrary,/works/OL15251627W,Le Jour des Fourmis,Bernard Werber,Livre de Poche,frances,9782253137245,2253137243,0.7778,1.0000,1.0000,1.0000,0.8778
73,Les Fourmis,Bernard Werber,openlibrary,/works/OL17781000W,Le livre secret des fourmis,Bernard Werber,Librairie ge ne rale franc ʹaise,frances,9782253155768,2253155764,0.7778,1.0000,1.0000,0.4167,0.8194
74,Le Jour des Fourmis,Bernard Werber,openlibrary,/works/OL136528W,Le jour des fourmis,Bernard Werber,A. Michel,frances,9782253137245,2226061185,1.0000,1.0000,1.0000,0.4000,0.9400
74,Le Jour des Fourmis,Bernard Werber,openlibrary,/works/OL15251627W,Le Jour des Fourmis,Bernard Werber,Livre de Poche,frances,9782253137245,2253137243,1.0000,1.0000,1.0000,1.0000,1.0000
75,The Gods Themselves,Isaac Asimov,openlibrary,/works/OL46395W,The Gods Themselves,Isaac Asimov,Tandem Library,espanol,9780394299877,0575129050,1.0000,1.0000,0.0000,0.5000,0.8500
76,Chronomaster,Roger Zelazny; Jane Lindskold,openlibrary,/works/OL15345997W,Chronomaster,Roger Zelazny,Prima Publishing,ingles,9780761504139,0761504133,1.0000,1.0000,1.0000,0.5000,0.9500
77,Planeta de los simios,Pierre Boulle,openlibrary,/works/OL42425404W,Planeta de Los Simios / Planet of the Apes,Pierre Boulle,Ediciones B Mexico,espanol,9788413149851,8413149851,1.0000,1.0000,1.0000,0.5000,0.9500
78,Code of the Lifemaker,James P. Hogan,openlibrary,/works/OL175689W,Code of the lifemaker,James P. Hogan,Del rey,ingles,9781604504569,0743435265,1.0000,1.0000,1.0000,1.0000,1.0000
78,Code of the Lifemaker,James P. Hogan,google_books,TID161O-9koC,Code of the Lifemaker,James P. Hogan,Baen Books,ingles,9780743435260,0743435265,1.0000,1.0000,1.0000,0.2353,0.9235
80,Inferno,Larry Niven; Jerry Pournelle,openlibrary,/works/OL8262132W,Inferno,Larry Niven; Jerry Pournelle,Orb / SFBC,ingles,9780671820589,0352397292,1.0000,1.0000,1.0000,0.3000,0.9300
81,Rocheworld,Robert L. Forward,openlibrary,/works/OL84294W,Rocheworld,Robert L. Forward,Baen Books,ingles,9780671698690,5555716117,1.0000,1.0000,1.0000,0.5000,0.9500
81,Rocheworld,Robert L. Forward,openlibrary,/works/OL13418890W,Return to Rocheworld,Robert L. Forward; Julie Forward Fuller,Baen,ingles,9780595166169,0595166164,1.0000,1.0000,1.0000,0.5000,0.9500
81,Rocheworld,Robert L. Forward,openlibrary,/works/OL15554183W,Return to Rocheworld,Robert L. Forward,Baen Books,ingles,9780671721534,0671721534,1.0000,1.0000,1.0000,0.5000,0.9500
83,Neutron Star,Larry Niven,openlibrary,/works/OL510448W,Neutron Star,Larry Niven,Macdonald & Co.,ingles,9780345296658,0345270657,1.0000,1.0000,1.0000,0.5000,0.9500
83,Neutron Star,Larry Niven,openlibrary,/works/OL37904999W,Neutron Star,Larry Niven,Ballantine Books,ingles,9780345234414,0345234413,1.0000,1.0000,1.0000,0.5000,0.9500
84,Starquake,Robert L. Forward,openlibrary,/works/OL84295W,Starquake,Robert L. Forward,Ballantine Books,ingles,9780345312327,0345312325,1.0000,1.0000,1.0000,0.5000,0.9500
84,Starquake,Robert L. Forward,openlibrary,/works/OL15348302W,Dragon's Egg/Starquake,Robert L. Forward,Del Rey,ingles,9780345388988,0345388984,1.0000,1.0000,1.0000,0.5000,0.9500
85,Amazing Fantastic Incredible,Stan Lee; Peter David; Colleen Doran,openlibrary,/works/OL20013065W,Amazing fantastic incredible,Stan Lee,Touchstone,ingles,9781501107726,1501107720,1.0000,1.0000,1.0000,0.5000,0.9500
85,Amazing Fantastic Incredible,Stan Lee; Peter David; Colleen Doran,openlibrary,/works/OL22706038W,Amazing Fantastic Incredible,Stan Lee,Simon & Schuster UK,desconocido,9781471184451,1471184455,1.0000,1.0000,0.5000,1.0000,0.9500
85,Amazing Fantastic Incredible,Stan Lee; Peter David; Colleen Doran,openlibrary,/works/OL20153272W,Amazing Fantastic Incredible,Stan Lee; Peter David; Colleen Doran,Gallery 13,ingles,9781501107764,1501107763,1.0000,1.0000,1.0000,0.1667,0.9167
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL1099513W,Voyage au Centre de la Terre,Jules Verne,"Open Road Integrated Media, Inc.",italiano,9788537817223,2070514374,1.0000,1.0000,0.0000,0.5000,0.8500
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL28724778W,Voyage Au Centre de la Terre,Jules Verne,Independently published,frances,9798767200122,1973140861,1.0000,1.0000,1.0000,0.5000,0.9500
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL40964128W,Voyage Au Centre de la Terre,Jules Verne,Hollybook,frances,9781535576093,1517465435,1.0000,1.0000,1.0000,0.5000,0.9500
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL30660917W,Voyage Au Centre de la Terre,Jules Verne,Independently Published,frances,9798638731540,,1.0000,1.0000,1.0000,0.5000,0.9500
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL29942061W,Voyage Au Centre de la Terre,Jules Verne,Independently Published,frances,9781798486603,1792049749,1.0000,1.0000,1.0000,0.5000,0.9500
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL36271696W,Voyage Au Centre de la Terre,Jules Verne,Independently Published,frances,9798466329018,,1.0000,1.0000,1.0000,0.5000,0.9500
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL34290017W,Voyage Au Centre de la Terre,Jules Verne,Independently Published,frances,9798536649053,,1.0000,1.0000,1.0000,0.5000,0.9500
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL26186597W,Voyage au centre de la Terre,Jules Verne,Gallimard jeunesse,frances,9782070617210,2070617211,1.0000,1.0000,1.0000,0.5000,0.9500
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL27680160W,Voyage au centre de la terre,Jules Verne,Hachette jeunesse,frances,9782010046216,2010046218,1.0000,1.0000,1.0000,0.5000,0.9500
87,Voyage au centre de la Terre,Jules Verne,openlibrary,/works/OL29620567W,Voyage Au Centre de la Terre,Jules Verne,Independently Published,frances,9781792690143,1983139378,1.0000,1.0000,1.0000,0.5000,0.9500
